model,mean_recall,std_recall,sem_recall
OneClassSVM,0.864516129032258,0.06579380017539076,0.02942388193804226
Isolation Forest,0.8806451612903226,0.0608643944003652,0.027219384657714826
Local Outlier Factor,0.9419354838709676,0.024139725075960936,0.010795613245600985
Autoencoder,0.9935483870967742,0.0129032258064516,0.005770498006451064
qwen2.5:7b,0.10443037974683544,0.0,0.0
qwen2.5:14b-chemistry,0.11392405063291139,0.0,0.0
llama2:7b-chat-chemistry-assistant,0.25,0.0,0.0
