model,mean_recall,std_recall,sem_recall
OneClassSVM,0.9118092105263159,0.03973602517459314,0.01777049068920664
Isolation Forest,0.8614802631578948,0.03354366495254735,0.015001183009674625
Local Outlier Factor,0.8318201754385965,0.03163375482683714,0.014147045235273987
Autoencoder,0.9989473684210527,0.0021052631578947433,0.0009415023063157038
qwen2.5:7b,0.3062977099236641,0.0,0.0
qwen2.5:14b-chemistry,0.4064885496183206,0.0,0.0
llama2:7b-chat-chemistry-assistant,0.4484732824427481,0.0,0.0
